"area","type","value","CIlow","CIup","period_start","period_end","coverage","data_updated"
"Aberdeenshire","Infections",44.3,27.9,69.2,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Aberdeenshire","Infections",31.7,15.8,57.1,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Aberdeenshire","Infections",22.4,7.5,52.9,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Aberdeenshire","Infections",16.2,3.4,53.9,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Aberdeenshire","Infections",11.8,1.6,55.2,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Aberdeenshire","P(Cases>100)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeenshire","P(Cases>100)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeenshire","P(Cases>100)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeenshire","P(Cases>100)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeenshire","P(Cases>20)",0.3,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeenshire","P(Cases>20)",0.18,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeenshire","P(Cases>20)",0.13,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeenshire","P(Cases>20)",0.1,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeenshire","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeenshire","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeenshire","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeenshire","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeenshire","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeenshire","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeenshire","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeenshire","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeenshire","P(Cases>50)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeenshire","P(Cases>50)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeenshire","P(Cases>50)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeenshire","P(Cases>50)",0.01,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeenshire","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeenshire","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeenshire","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeenshire","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeenshire","P(R>1)",0.03,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Aberdeenshire","R",0.7,0.43,1.01,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Allerdale","Cases",58.4,28.7,100.5,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Allerdale","Cases",39,12.3,80.8,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Allerdale","Cases",26.7,5.1,66.6,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Allerdale","Cases",17.4,1,58.2,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Allerdale","Infections",397.4,257.3,593.7,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Allerdale","Infections",259.1,145.4,447,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Allerdale","Infections",172.4,70.6,354.4,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Allerdale","Infections",113.9,35.9,295.7,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Allerdale","Infections",77.5,18.2,246.7,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Allerdale","P(Cases>100)",0.05,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Allerdale","P(Cases>100)",0.02,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Allerdale","P(Cases>100)",0.01,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Allerdale","P(Cases>100)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Allerdale","P(Cases>20)",0.99,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Allerdale","P(Cases>20)",0.84,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Allerdale","P(Cases>20)",0.63,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Allerdale","P(Cases>20)",0.41,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Allerdale","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Allerdale","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Allerdale","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Allerdale","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Allerdale","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Allerdale","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Allerdale","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Allerdale","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Allerdale","P(Cases>50)",0.66,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Allerdale","P(Cases>50)",0.3,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Allerdale","P(Cases>50)",0.15,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Allerdale","P(Cases>50)",0.07,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Allerdale","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Allerdale","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Allerdale","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Allerdale","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Allerdale","P(R>1)",0,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Allerdale","R",0.64,0.44,0.85,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Amber Valley","Cases",63.2,33.2,104.2,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Amber Valley","Cases",46.6,19.7,89.2,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Amber Valley","Cases",32.4,10.3,73.4,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Amber Valley","Cases",22.1,3.9,67.9,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Amber Valley","Infections",255.5,177.4,361.4,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Amber Valley","Infections",183.6,109.5,282.9,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Amber Valley","Infections",131,64.5,239.8,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Amber Valley","Infections",93.5,36.8,207.4,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Amber Valley","Infections",66.1,21.1,179,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Amber Valley","P(Cases>100)",0.07,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Amber Valley","P(Cases>100)",0.02,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Amber Valley","P(Cases>100)",0.02,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Amber Valley","P(Cases>100)",0.01,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Amber Valley","P(Cases>20)",1,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Amber Valley","P(Cases>20)",0.94,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Amber Valley","P(Cases>20)",0.78,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Amber Valley","P(Cases>20)",0.56,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Amber Valley","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Amber Valley","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Amber Valley","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Amber Valley","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Amber Valley","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Amber Valley","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Amber Valley","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Amber Valley","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Amber Valley","P(Cases>50)",0.74,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Amber Valley","P(Cases>50)",0.42,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Amber Valley","P(Cases>50)",0.22,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Amber Valley","P(Cases>50)",0.13,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Amber Valley","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Amber Valley","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Amber Valley","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Amber Valley","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Amber Valley","P(R>1)",0.01,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Amber Valley","R",0.7,0.54,0.89,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Angus","Cases",37,15.5,72.1,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Angus","Cases",31,9.5,69.7,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Angus","Cases",25,5.2,67.1,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Angus","Cases",18.9,2.6,73.8,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Angus","Infections",98.7,63.4,152.1,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Angus","Infections",80.2,43.2,136.9,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Angus","Infections",63.7,27.9,136.2,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Angus","Infections",51,17.6,140.3,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Angus","Infections",40.2,10.3,147.5,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Angus","P(Cases>100)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Angus","P(Cases>100)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Angus","P(Cases>100)",0.01,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Angus","P(Cases>100)",0.02,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Angus","P(Cases>20)",0.89,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Angus","P(Cases>20)",0.74,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Angus","P(Cases>20)",0.6,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Angus","P(Cases>20)",0.47,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Angus","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Angus","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Angus","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Angus","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Angus","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Angus","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Angus","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Angus","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Angus","P(Cases>50)",0.23,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Angus","P(Cases>50)",0.16,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Angus","P(Cases>50)",0.13,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Angus","P(Cases>50)",0.11,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Angus","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Angus","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Angus","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Angus","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Angus","P(R>1)",0.06,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Angus","R",0.79,0.61,1.04,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Antrim and Newtownabbey","Cases",53.7,26.5,96.2,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Antrim and Newtownabbey","Cases",43.9,16.7,90.5,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Antrim and Newtownabbey","Cases",34.1,9.8,89.1,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Antrim and Newtownabbey","Cases",25.8,4.9,86.4,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Antrim and Newtownabbey","Infections",126.9,86.8,180.5,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Antrim and Newtownabbey","Infections",100.2,60.1,174.1,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Antrim and Newtownabbey","Infections",79.1,39.3,164.8,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Antrim and Newtownabbey","Infections",62.4,25.1,163.8,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Antrim and Newtownabbey","Infections",49.2,16.4,167.1,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>100)",0.04,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>100)",0.03,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>100)",0.03,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>100)",0.03,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>20)",0.97,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>20)",0.92,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>20)",0.79,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>20)",0.64,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>200)",0.01,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>50)",0.57,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>50)",0.4,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>50)",0.26,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>50)",0.21,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Antrim and Newtownabbey","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Antrim and Newtownabbey","P(R>1)",0.06,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Antrim and Newtownabbey","R",0.78,0.63,1.02,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Ards and North Down","Cases",48.2,23.6,85.9,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Ards and North Down","Cases",41.4,15.5,88.9,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Ards and North Down","Cases",35.2,10.5,90.3,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Ards and North Down","Cases",29.1,5.7,95.1,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Ards and North Down","Infections",106.2,71.3,157.6,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Ards and North Down","Infections",91.1,52.1,158.1,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Ards and North Down","Infections",77.6,36.7,165.5,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Ards and North Down","Infections",65,25.9,174.9,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Ards and North Down","Infections",55.4,17.3,188.1,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Ards and North Down","P(Cases>100)",0.02,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Ards and North Down","P(Cases>100)",0.03,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Ards and North Down","P(Cases>100)",0.04,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Ards and North Down","P(Cases>100)",0.05,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Ards and North Down","P(Cases>20)",0.98,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Ards and North Down","P(Cases>20)",0.89,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Ards and North Down","P(Cases>20)",0.79,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Ards and North Down","P(Cases>20)",0.69,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Ards and North Down","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Ards and North Down","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Ards and North Down","P(Cases>200)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Ards and North Down","P(Cases>200)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Ards and North Down","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Ards and North Down","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Ards and North Down","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Ards and North Down","P(Cases>300)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Ards and North Down","P(Cases>50)",0.47,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Ards and North Down","P(Cases>50)",0.34,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Ards and North Down","P(Cases>50)",0.26,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Ards and North Down","P(Cases>50)",0.23,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Ards and North Down","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Ards and North Down","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Ards and North Down","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Ards and North Down","P(Cases>500)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Ards and North Down","P(R>1)",0.12,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Ards and North Down","R",0.84,0.67,1.09,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Argyll and Bute","Cases",22.1,4.7,53.6,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Argyll and Bute","Cases",17.5,2.3,48.9,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Argyll and Bute","Cases",14,1.2,43.1,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Argyll and Bute","Cases",11.6,0,43.1,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Argyll and Bute","Infections",65.9,35.6,118.7,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Argyll and Bute","Infections",54.7,25.9,106.6,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Argyll and Bute","Infections",45.3,16.1,95.2,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Argyll and Bute","Infections",37.2,10.2,84.8,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Argyll and Bute","Infections",30.1,6.4,80.4,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Argyll and Bute","P(Cases>100)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Argyll and Bute","P(Cases>100)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Argyll and Bute","P(Cases>100)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Argyll and Bute","P(Cases>100)",0,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Argyll and Bute","P(Cases>20)",0.56,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Argyll and Bute","P(Cases>20)",0.43,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Argyll and Bute","P(Cases>20)",0.32,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
